key,unidad,AT_anterior,AT_fisico_canonico
honey_badger,Tejón Mielero,2,3
porcupine,Puercoespín,1,1
wild_boar,Jabalí Salvaje,3,5
black_raven,Cuervo Negro,1,1
constrictor_snake,Serpiente Constrictora,2,2
african_buffalo,Búfalo Africano,2,9
peregrine_falcon,Halcón Peregrino,1,2
inland_taipan,Taipán del Interior,1,1
african_lion,León Africano,5,7
bengal_tiger,Tigre de Bengala,6,8
white_rhino,Rinoceronte Blanco,14,12
african_elephant,Elefante Africano,16,16
baby_lightning_dragon,Baby Lightning Dragon,10,5
young_lightning_dragon,Young Lightning Dragon,15,10
adult_lightning_dragon,Adult Lightning Dragon,20,18
baby_fire_dragon,Baby Fire Dragon,12,6
young_fire_dragon,Young Fire Dragon,18,11
adult_fire_dragon,Adult Fire Dragon,24,20
baby_ice_dragon,Baby Ice Dragon,9,4
young_ice_dragon,Young Ice Dragon,14,9
adult_ice_dragon,Adult Ice Dragon,18,16
