key,unidad,AT_anterior,AT_base_canonico
acolyte_healer,Acólita sanadora,1,1
arcane_adept,Adepto Arcano,2,2
egyptian_line_archer,Arquero egipcio de línea,2,2
scout,Asesina del desierto,1,2
fuma_kotaro,Fūma Kotarō,1,2
geisha_encubierta,Geisha Encubierta,1,2
spearman,Lancero solar,2,2
morgana,Morgana,2,2
saboteador_iga,Saboteador de Iga,1,2
sun_tzu,Sun Tzu,2,2
archer,Arquera del desierto,3,3
scythian_horse_archer,Arquero a caballo escita,3,3
roman_auxiliary_sagittarius,Arquero auxiliar romano,3,3
ericto,Ericto,3,3
mongol_explorer,Explorador mongol,3,3
guardian,Guardián de piedra,2,3
greek_hoplite,Hoplita griego,3,3
numidian_javelin_rider,Jinete númida,3,3
joan_of_arc,Juana de Arco,3,3
merlin,Merlín,4,3
king_solomon,Rey Salomón,3,3
samurai_yabusame,Samurai Yabusame,2,3
skipar_del_drakkar,Skipar del Drakkar,3,3
subotai,Subotai / Subutai,4,3
ulfhednar,Ulfhednar,3,3
ulysses,Ulises / Odiseo,3,3
yi_sun_sin,Yi Sun-sin,3,3
alexander_magnus,Alejandro Magno,5,4
new_kingdom_archer,Arquero del Imperio Nuevo,4,4
attila_hun,Atila el Huno,6,4
boudica,Boudica,5,4
cavalry,Caballería ligera,4,4
genghis_khan,Gengis Kan,5,4
guerrero_franco_hacha,Guerrero franco de hacha,4,4
hannibal_barca,Hannibal Barca,5,4
hattori_hanzo,Hattori Hanzō,5,4
mulan,Hua Lan,4,4
hungarian_hussar,Húsar húngaro,5,4
cossack_rider,Jinete cosaco,4,4
julius_caesar,Julio César,4,4
roman_legionary,Legionario romano,4,4
nasu_no_yoichi,Nasu no Yoichi,4,4
saladin,Saladino,4,4
samurai_katana,Samurai de Katana,3,4
samurai_naginata,Samurai de Naginata,5,4
shaka_zulu,Shaka Zulu,5,4
tomoe_gozen,Tomoe Gozen,5,4
arjuna,Arjuna,6,5
berserker_de_oso,Berserker de Oso,5,5
caballero_poleaxe,Caballero de poleaxe,6,5
el_cid,El Cid Campeador,5,5
spartacus,Espartaco,6,5
armored_man_at_arms,Hombre de armas acorazado,5,5
hector_troy,Héctor de Troya,5,5
huscarl_anglosajon_hacha,Húscarl anglosajón,6,5
khalid_ibn_al_walid,Khalid ibn al-Walid,6,5
leonidas,Leónidas,5,5
miyamoto_musashi,Miyamoto Musashi,6,5
ragnar_lodbrok,Ragnar Lodbrok,6,5
richard_lionheart,Richard Corazón de León,5,5
wallace,William Wallace,6,5
achilles,Aquiles,8,6
beowulf,Beowulf,7,6
berserker,Berserker del norte,8,6
cu_chulainn,Cú Chulainn,7,6
gallowglass_irlandes_hacha,Gallowglass irlandés,8,6
gilgamesh,Gilgamesh,7,6
guardia_varega_hacha,Guardia varega,7,6
lu_bu,Lü Bu,7,6
simo_hayha,Simo Häyhä,4,6
