key,locomotion,natural_mov_base,burden_ratio,weight_penalty_steps,final_mov
acolyte_healer,foot,2,0.271,0,2
arcane_adept,foot,2,0.625,0,2
archer,foot,2,0.63,0,2
egyptian_line_archer,foot,2,0.388,0,2
new_kingdom_archer,foot,2,0.572,0,2
roman_auxiliary_sagittarius,foot,2,0.711,0,2
scout,foot,2,0.444,0,2
geisha_encubierta,foot,2,0.388,0,2
saboteador_iga,foot,2,0.55,0,2
berserker_de_oso,foot,2,0.533,0,2
berserker,foot,2,0.574,0,2
ulfhednar,foot,2,0.321,0,2
huscarl_anglosajon_hacha,foot,2,0.927,0,2
guardia_varega_hacha,foot,2,1.101,1,1
guerrero_franco_hacha,foot,2,0.776,0,2
gallowglass_irlandes_hacha,foot,2,0.957,0,2
caballero_poleaxe,foot,2,1.256,2,1
skipar_del_drakkar,foot,2,0.783,0,2
spearman,foot,2,1.312,2,1
greek_hoplite,foot,2,1.054,1,1
roman_legionary,foot,2,1.068,1,1
armored_man_at_arms,foot,2,1.272,2,1
guardian,foot,2,1.296,2,1
samurai_katana,foot,2,1.124,1,1
samurai_naginata,foot,2,1.075,1,1
cavalry,mounted_horse,4,1.165,1,3
numidian_javelin_rider,mounted_horse,4,0.819,0,4
scythian_horse_archer,mounted_horse,4,0.835,0,4
hungarian_hussar,mounted_horse,4,0.912,0,4
mongol_explorer,mounted_horse,4,0.872,0,4
cossack_rider,mounted_horse,4,0.909,0,4
samurai_yabusame,mounted_horse,4,1.034,1,3
saladin_archer_cavalry,mounted_horse,4,0.856,0,4
mulan,foot,2,1.163,1,1
wallace,foot,2,0.713,0,2
alexander_magnus,foot,2,0.883,0,2
achilles,foot,2,0.688,0,2
arjuna,foot,2,0.636,0,2
attila_hun,mounted_horse,4,1.013,1,3
beowulf,foot,2,0.76,0,2
boudica,foot,2,0.659,0,2
cu_chulainn,foot,2,0.344,0,2
el_cid,foot,2,0.479,0,2
ericto,foot,2,0.321,0,2
spartacus,foot,2,0.375,0,2
fuma_kotaro,foot,2,0.545,0,2
genghis_khan,mounted_horse,4,1.026,1,3
gilgamesh,foot,2,0.724,0,2
hannibal_barca,mounted_elephant,2,0.548,0,2
hattori_hanzo,foot,2,0.625,0,2
hector_troy,foot,2,1.135,1,1
joan_of_arc,foot,2,1.373,2,1
julius_caesar,foot,2,0.614,0,2
khalid_ibn_al_walid,foot,2,0.808,0,2
leonidas,foot,2,0.677,0,2
lu_bu,foot,2,0.869,0,2
merlin,foot,2,0.667,0,2
miyamoto_musashi,foot,2,0.268,0,2
morgana,foot,2,0.536,0,2
nasu_no_yoichi,foot,2,0.727,0,2
ragnar_lodbrok,foot,2,0.683,0,2
richard_lionheart,foot,2,1.366,2,1
saladin,foot,2,0.462,0,2
shaka_zulu,foot,2,0.423,0,2
simo_hayha,foot,2,0.655,0,2
subotai,mounted_horse,4,0.918,0,4
sun_tzu,foot,2,0.444,0,2
tomoe_gozen,mounted_horse,4,0.852,0,4
ulysses,foot,2,0.75,0,2
yi_sun_sin,foot,2,0.523,0,2
king_solomon,foot,2,0.444,0,2
drakor_guardia_sepulcro,foot,2,1.076,1,1
gorthak_hacha_tumulo,foot,2,0.9,0,2
morgash_jinete_osario,mounted_undead_horse,4,0.9,0,4
vorthalix_oraculo_osario,foot,2,0.93,0,2
xulthar_ojo_sepulcro,foot,2,0.611,0,2
zyrek_sombra_cripta,foot,2,0.646,0,2
solomon_jinn,supernatural,2,0.5,0,2
solomon_ifrit,supernatural,2,0.1,0,2
solomon_demon,supernatural,2,0.0,0,2
honey_badger,beast,2,0.0,0,2
porcupine,beast,1,0.0,0,1
wild_boar,beast,3,0.0,0,3
black_raven,flying_beast,4,0.0,0,4
constrictor_snake,beast,1,0.0,0,1
african_buffalo,beast,4,0.0,0,4
peregrine_falcon,flying_beast,5,0.0,0,5
inland_taipan,beast,1,0.0,0,1
african_lion,beast,4,0.0,0,4
bengal_tiger,beast,4,0.0,0,4
white_rhino,beast,4,0.0,0,4
african_elephant,beast,2,0.0,0,2
dragon_egg,immobile,0,0.0,0,0
baby_lightning_dragon,flying_beast,1,0.0,0,1
baby_fire_dragon,flying_beast,1,0.0,0,1
baby_ice_dragon,flying_beast,1,0.0,0,1
young_lightning_dragon,flying_beast,2,0.0,0,2
young_fire_dragon,flying_beast,2,0.0,0,2
young_ice_dragon,flying_beast,2,0.0,0,2
adult_lightning_dragon,flying_beast,3,0.0,0,3
adult_fire_dragon,flying_beast,3,0.0,0,3
adult_ice_dragon,flying_beast,3,0.0,0,3
