key,name,locomotion,bodyMassKg,armorWeightKg,armorClass,weaponWeightKg,shieldGearWeightKg,miscWeightKg,carriedLoadKg,distributionFactor,effectiveLoadKg,mobilityCapacityKg,mountType,mountComfortLoadKg,tackWeightKg,mountArmorWeightKg,mountTotalLoadKg,burdenRatio,weightPenaltySteps,loadModel,estimateConfidence,note
acolyte_healer,Acólita sanadora,foot,58,1,none,0.8,0,2,3.8,1.0,3.8,14,,,0,0,,0.271,0,carried,medium,"Ropajes, foco y equipo médico ligero."
arcane_adept,Adepto Arcano,foot,72,4,light,2,0,4,10,1.0,10.0,16,,,0,0,,0.625,0,carried,medium,"Ropajes reforzados, bastón/foco y componentes arcanos."
alexander_magnus,Alejandro Magno,foot,78,12,medium,3,6,2,23,0.96,22.1,25,,,0,0,,0.883,0,carried,medium,"Coraza, lanza y escudo."
achilles,Aquiles,foot,88,10,medium,3.5,6,2,21.5,0.96,20.6,30,,,0,0,,0.688,0,carried,medium,Guerrero excepcional; armadura y escudo bien tolerados.
arjuna,Arjuna,foot,75,8,medium,2,0,4,14,1.0,14.0,22,,,0,0,,0.636,0,carried,medium,"Armadura media-ligera, arco y carcaj."
archer,Arquera del desierto,foot,62,5,light,1.4,0,4,10.4,1.03,10.7,17,,,0,0,,0.63,0,carried,medium,"Armadura ligera, arco y carcaj."
scythian_horse_archer,Arquero a caballo escita,mounted_horse,70,7,light,2.2,0,3,12.2,1.0,12.2,21,steppe_horse,108,8,0,90.2,0.835,0,carried,medium,Arquero montado ligero.
roman_auxiliary_sagittarius,Arquero auxiliar romano,foot,72,8,medium,1.5,0,4,13.5,1.0,13.5,19,,,0,0,,0.711,0,carried,medium,"Protección militar media, arco y munición."
new_kingdom_archer,Arquero del Imperio Nuevo,foot,68,5,light,1.3,0,4,10.3,1.0,10.3,18,,,0,0,,0.572,0,carried,medium,"Protección ligera, arco y munición."
egyptian_line_archer,Arquero egipcio de línea,foot,65,2,light,1.2,0,3,6.2,1.0,6.2,16,,,0,0,,0.388,0,carried,medium,"Protección mínima, arco y carcaj."
scout,Asesina del desierto,foot,58,4,light,2,0,2,8,1.0,8.0,18,,,0,0,,0.444,0,carried,medium,Equipo de asesina ligero y distribuido.
