key,unidad,GD_anterior,GD_canonica
acolyte_healer,Acólita sanadora,0,0
egyptian_line_archer,Arquero egipcio de línea,0,0
ericto,Ericto,2,0
morgana,Morgana,0,0
simo_hayha,Simo Häyhä,2,0
arcane_adept,Adepto Arcano,0,1
scout,Asesina del desierto,0,1
geisha_encubierta,Geisha Encubierta,0,1
merlin,Merlín,2,1
miyamoto_musashi,Miyamoto Musashi,5,1
king_solomon,Rey Salomón,3,1
sun_tzu,Sun Tzu,3,1
archer,Arquera del desierto,1,2
scythian_horse_archer,Arquero a caballo escita,1,2
new_kingdom_archer,Arquero del Imperio Nuevo,1,2
fuma_kotaro,Fūma Kotarō,1,2
cossack_rider,Jinete cosaco,1,2
numidian_javelin_rider,Jinete númida,1,2
saboteador_iga,Saboteador de Iga,1,2
ulfhednar,Ulfhednar,1,2
arjuna,Arjuna,4,3
roman_auxiliary_sagittarius,Arquero auxiliar romano,2,3
berserker_de_oso,Berserker de Oso,1,3
berserker,Berserker del norte,1,3
cu_chulainn,Cú Chulainn,4,3
spartacus,Espartaco,4,3
hattori_hanzo,Hattori Hanzō,4,3
shaka_zulu,Shaka Zulu,4,3
boudica,Boudica,4,4
saladin_archer_cavalry,Caballería Arquera de Saladino,2,4
el_cid,El Cid Campeador,5,4
mongol_explorer,Explorador mongol,1,4
hungarian_hussar,Húsar húngaro,2,4
julius_caesar,Julio César,5,4
saladin,Saladino,5,4
yi_sun_sin,Yi Sun-sin,5,4
guerrero_franco_hacha,guerrero_franco_hacha,2,4
attila_hun,Atila el Huno,4,5
khalid_ibn_al_walid,Khalid ibn al-Walid,5,5
nasu_no_yoichi,Nasu no Yoichi,3,5
ragnar_lodbrok,Ragnar Lodbrok,4,5
skipar_del_drakkar,Skipar del Drakkar,2,5
subotai,Subotai / Subutai,4,5
wallace,William Wallace,5,5
gallowglass_irlandes_hacha,gallowglass_irlandes_hacha,2,5
huscarl_anglosajon_hacha,huscarl_anglosajon_hacha,4,5
alexander_magnus,Alejandro Magno,5,6
achilles,Aquiles,6,6
beowulf,Beowulf,5,6
genghis_khan,Gengis Kan,5,6
greek_hoplite,Hoplita griego,5,6
roman_legionary,Legionario romano,1,6
samurai_yabusame,Samurai Yabusame,2,6
tomoe_gozen,Tomoe Gozen,4,6
ulysses,Ulises / Odiseo,4,6
guardia_varega_hacha,guardia_varega_hacha,3,6
gilgamesh,Gilgamesh,6,7
mulan,Hua Lan,3,7
hector_troy,Héctor de Troya,6,7
leonidas,Leónidas,7,7
lu_bu,Lü Bu,4,7
samurai_katana,Samurai de Katana,3,7
samurai_naginata,Samurai de Naginata,2,7
hannibal_barca,Hannibal Barca,5,8
spearman,Lancero solar,6,8
armored_man_at_arms,Hombre de armas acorazado,2,9
joan_of_arc,Juana de Arco,4,9
caballero_poleaxe,caballero_poleaxe,5,9
cavalry,cavalry,3,9
guardian,Guardián de piedra,7,10
richard_lionheart,Richard Corazón de León,5,10
