lider,carta_nombre,cantidad,origen
Guerrero,Asesina del desierto,1,Starter base
Guerrero,Arquera del desierto,1,Starter base
Guerrero,Adepto Arcano,1,Starter base
Guerrero,Lancero solar,2,Starter base
Guerrero,Caballería ligera,1,Starter base
Guerrero,Berserker del norte,1,Starter base
Guerrero,Guardián de piedra,2,Starter base
Guerrero,Berserker de Oso,1,Starter base
Guerrero,Ulfhednar,1,Starter base
Guerrero,Skipar del Drakkar,1,Starter base
Guerrero,Luz de Sanacion,1,Starter base
Guerrero,Samurai de Katana,1,Starter base
Guerrero,Muro de escudos,1,Starter base
Guerrero,Fireball,1,Starter base
Guerrero,Saboteador de Iga,1,Starter base
Guerrero,Grebas de Marcha,1,Equipo exclusivo del líder
Guerrero,Visera de Guerra,1,Equipo exclusivo del líder
Guerrero,Hua lan / wallace,1,Es la que elije el pj
,,20,
,,,
Arquero,Asesina del desierto,1,Starter base
Arquero,Arquera del desierto,2,Starter base
Arquero,Arquero egipcio de linea,2,Starter base
Arquero,Lancero solar,1,Starter base
Arquero,Caballería ligera,1,Starter base
Arquero,Berserker del norte,1,Starter base
Arquero,Guardián de piedra,1,Starter base
Arquero,Fireball,1,Starter base
Arquero,Ulfhednar,1,Starter base
Arquero,Legionario Romano,1,Starter base
Arquero,Skipar del Drakkar,1,Starter base
Arquero,Maldicion de arena,1,Starter base
Arquero,Luz de Sanacion,1,Starter base
Arquero,Samurai de Katana,1,Starter base
Arquero,Saboteador de Iga,1,Starter base
Arquero,Capa de Escaramuza,1,Equipo exclusivo del líder
Arquero,Correa de Retirada,1,Equipo exclusivo del líder
Arquero,Hua lan / wallace,1,Es la que elije el pj
,,20,
,,,
Hechicero,Asesina del desierto,1,Starter base
Hechicero,Arquera del desierto,1,Starter base
Hechicero,Adepto Arcano,2,Starter base
Hechicero,Lancero solar,1,Starter base
Hechicero,Caballería ligera,1,Starter base
Hechicero,Berserker del norte,1,Starter base
Hechicero,Guardián de piedra,1,Starter base
Hechicero,Fireball ,2,Starter base
Hechicero,Maldicion de Arena,1,Starter base
Hechicero,Inspiration,1,Starter base
Hechicero,Berserker de Oso,1,Starter base
Hechicero,Ulfhednar,1,Starter base
Hechicero,Skipar del Drakkar,1,Starter base
Hechicero,Samurai de Katana,1,Starter base
Hechicero,Saboteador de Iga,1,Starter base
Hechicero,Foco Estabilizador,1,Equipo exclusivo del líder
Hechicero,Amuleto de Canalización,1,Equipo exclusivo del líder
Hechicero,Hua lan / wallace,1,Es la que elije el pj
,,20,
,,,
Caudillo del Hacha,Asesina del desierto,1,Starter base
Caudillo del Hacha,Arquera del desierto,1,Starter base
Caudillo del Hacha,Adepto Arcano,1,Starter base
Caudillo del Hacha,Lancero solar,1,Starter base
Caudillo del Hacha,Caballería ligera,1,Starter base
Caudillo del Hacha,Berserker del norte,2,Starter base
Caudillo del Hacha,Guardián de piedra,1,Starter base
Caudillo del Hacha,Berserker de Oso,1,Starter base
Caudillo del Hacha,Fireball ,1,Starter base
Caudillo del Hacha,Maldicion de Arena,1,Starter base
Caudillo del Hacha,Inspiration,1,Starter base
Caudillo del Hacha,Ulfhednar,2,Starter base
Caudillo del Hacha,Skipar del Drakkar,1,Starter base
Caudillo del Hacha,Samurai de Katana,1,Starter base
Caudillo del Hacha,Saboteador de Iga,1,Starter base
Caudillo del Hacha,Arnés de Piel Curtida,1,Equipo exclusivo del líder
Caudillo del Hacha,Mango Contrapesado,1,Equipo exclusivo del líder
Caudillo del Hacha,Hua lan / wallace,1,Es la que elije el pj
,,20,
,,,
Señor de la Carga,Asesina del desierto,1,Starter base
Señor de la Carga,Arquera del desierto,1,Starter base
Señor de la Carga,Adepto Arcano,1,Starter base
Señor de la Carga,Lancero solar,1,Starter base
Señor de la Carga,Caballería ligera,2,Starter base
Señor de la Carga,Berserker del norte,2,Starter base
Señor de la Carga,Guardián de piedra,1,Starter base
Señor de la Carga,luz de sanacion,1,Starter base
Señor de la Carga,inspiration,1,Starter base
Señor de la Carga,Berserker de Oso,1,Starter base
Señor de la Carga,muros de escudo,1,Starter base
Señor de la Carga,Ulfhednar,1,Starter base
Señor de la Carga,Skipar del Drakkar,1,Starter base
Señor de la Carga,Samurai de Katana,1,Starter base
Señor de la Carga,Saboteador de Iga,1,Starter base
Señor de la Carga,Estribos de Repliegue,1,Equipo exclusivo del líder
Señor de la Carga,Barda Ligera,1,Equipo exclusivo del líder
Señor de la Carga,Hua lan / wallace,1,Es la que elije el pj
,,20,
,,,
Maestro de Sombras,Asesina del desierto,2,Starter base
Maestro de Sombras,Arquera del desierto,1,Starter base
Maestro de Sombras,Adepto Arcano,1,Starter base
Maestro de Sombras,Lancero solar,2,Starter base
Maestro de Sombras,Caballería ligera,1,Starter base
Maestro de Sombras,Berserker del norte,1,Starter base
Maestro de Sombras,Guardián de piedra,1,Starter base
Maestro de Sombras,Berserker de Oso,1,Starter base
Maestro de Sombras,fireball,1,Starter base
Maestro de Sombras,luz de sanacion,1,Starter base
Maestro de Sombras,inspiration,1,Starter base
Maestro de Sombras,Ulfhednar,1,Starter base
Maestro de Sombras,Skipar del Drakkar,1,Starter base
Maestro de Sombras,Samurai de Katana,1,Starter base
Maestro de Sombras,Saboteador de Iga,1,Starter base
Maestro de Sombras,Manto del Ejecutor,1,Equipo exclusivo del líder
Maestro de Sombras,Guardabrazos de Ruptura,1,Equipo exclusivo del líder
Maestro de Sombras,Hua lan / wallace,1,Es la que elije el pj
,,20,
