enemigo,carta_nombre,cantidad
Hechicero guardián,Adepto Arcano,3
Hechicero guardián,Lancero solar,1
Hechicero guardián,Guardián de piedra,1
Hechicero guardián,Samurai de Katana,1
Hechicero guardián,Saboteador de Iga,1
Hechicero guardián,Explorador mongol,1
Hechicero guardián,Fireball,3
Hechicero guardián,Maldición de arena,3
Hechicero guardián,Muro de escudos,2
Hechicero guardián,Luz de Sanacion,1
Hechicero guardián,Inspiration,1
Hechicero guardián,Foco Estabilizador,1
Hechicero guardián,Amuleto de Canalización,1
,,20
,,
Arquero rebelde,Arquera del desierto,3
Arquero rebelde,Arquero del Imperio Nuevo,3
Arquero rebelde,Arquero egipcio de linea,2
Arquero rebelde,Explorador mongol,1
Arquero rebelde,Arquero a caballo escita,1
Arquero rebelde,Lancero solar,2
Arquero rebelde,Maldición de arena,3
Arquero rebelde,Fireball,2
Arquero rebelde,Smoke Bomb,1
Arquero rebelde,Capa de Escaramuza,1
Arquero rebelde,Correa de Retirada,1
,,20
,,
Guerrero rebelde,Lancero solar,3
Guerrero rebelde,Hoplita griego,3
Guerrero rebelde,Samurai de Katana,3
Guerrero rebelde,Legionario romano,2
Guerrero rebelde,Guardián de piedra,2
Guerrero rebelde,Samurai de Naginata,1
Guerrero rebelde,Maldición de arena,2
Guerrero rebelde,Smoke Bomb,1
Guerrero rebelde,Luz de Sanacion,1
Guerrero rebelde,Grebas de Marcha,1
Guerrero rebelde,Visera de Guerra,1
,,20
